id,order_id,product_id,qty,unit_price,discount
1,1,500,6,240.06,117.48
2,1,778,6,126.47,94.54
3,2,346,39,492.08,98.86
4,2,248,20,278.55,588.33
5,3,701,9,298.75,272.33
6,4,186,30,141.0,358.52
7,5,121,34,248.09,1141.59
8,5,715,19,427.51,48.51
9,6,79,32,128.28,238.48
10,6,204,48,404.37,2636.07
11,6,494,50,191.48,434.1
12,7,235,8,55.26,9.23
13,7,731,48,489.5,2132.99
14,7,456,2,221.86,24.41
15,7,718,45,217.84,1041.66
16,8,486,3,143.06,35.88
17,9,681,31,203.66,870.57
18,9,367,9,64.9,14.19
19,10,560,36,135.19,48.78
20,10,383,43,96.83,258.1
21,11,137,48,352.23,28.39
22,12,682,18,294.86,7.05
23,13,490,7,90.35,59.48
24,13,491,5,77.33,184.61
25,13,220,49,38.66,280.56
26,14,641,27,34.54,60.41
27,14,371,21,391.41,34.11
28,14,231,43,364.62,878.83
29,14,269,29,305.19,1150.92
30,15,662,16,301.49,208.12
31,15,774,50,42.15,189.62
32,15,651,27,37.84,13.0
33,15,162,50,77.05,370.65
34,16,350,35,304.62,1470.24
35,16,311,31,258.16,463.48
36,17,620,31,171.85,552.52
37,17,614,22,268.71,546.56
38,17,677,5,129.54,26.06
39,17,588,18,438.0,702.98
40,17,141,15,159.96,326.01
41,18,197,17,300.89,513.83
42,18,344,13,385.32,669.14
43,18,531,9,402.11,373.66
44,18,693,13,345.12,243.27
45,18,422,35,278.69,299.16
46,18,286,30,292.97,228.63
47,19,211,22,95.62,204.31
48,19,613,32,190.62,358.33
49,19,649,46,139.02,545.03
50,20,259,36,492.01,8.68
51,20,128,13,406.94,202.2
52,20,386,32,230.11,1094.43
53,21,204,28,315.92,649.58
54,21,273,7,240.8,97.82
55,21,53,8,74.17,10.94
56,22,562,18,68.07,17.62
57,22,549,48,344.93,508.85
58,23,640,47,142.2,430.88
59,24,274,16,80.09,106.43
60,24,566,21,382.36,206.97
61,24,363,25,105.55,243.94
62,25,128,15,124.8,250.44
63,25,98,15,143.34,1113.3
64,25,253,28,291.92,474.12
65,25,417,14,119.93,102.89
66,26,769,49,139.5,503.97
67,26,390,34,174.43,2828.25
68,26,24,25,419.92,587.3
69,26,555,46,43.29,204.1
70,27,362,18,128.14,100.57
71,27,415,15,192.82,380.8
72,28,715,29,357.97,34.07
73,28,67,37,175.87,371.86
74,29,92,18,186.46,501.98
75,29,448,31,83.26,84.84
76,29,262,38,324.28,1107.38
77,29,357,13,423.72,809.04
78,29,235,24,28.75,23.66
79,30,262,29,78.77,1048.45
80,31,69,15,436.55,609.92
81,32,482,11,121.94,162.52
82,32,434,13,303.3,45.57
83,33,798,49,187.62,246.74
84,33,474,35,466.41,601.5
85,33,567,1,166.11,4.28
86,34,59,11,28.93,7.44
87,34,404,9,124.75,102.56
88,34,139,24,289.06,290.62
89,35,166,49,25.93,187.32
90,35,656,9,5.28,3.28
91,35,621,32,340.38,645.39
92,36,663,23,394.26,785.48
93,36,533,48,205.57,372.14
94,37,38,14,41.34,86.36
95,38,307,2,160.7,9.58
96,38,383,2,111.71,25.97
97,39,768,26,126.02,8.05
98,39,144,15,452.31,257.4
99,39,665,26,235.84,427.88
100,39,310,14,234.33,204.61
101,40,104,23,235.22,313.69
102,40,303,42,436.7,214.93
103,40,384,19,180.61,263.84
104,40,55,31,25.06,114.36
105,41,519,11,10.47,1.75
106,42,224,41,262.94,39.04
107,43,637,19,187.14,427.33
108,43,335,38,66.03,165.0
109,44,799,36,365.69,1118.39
110,45,387,47,362.66,682.92
111,45,339,10,382.24,112.57
112,45,677,40,195.03,461.52
113,45,732,3,26.79,0.15
114,45,451,9,101.27,77.83
115,46,582,14,5.28,0.73
116,46,262,3,136.43,29.63
117,47,506,22,310.32,1003.02
118,47,117,31,478.06,573.71
119,47,82,36,276.22,1344.41
120,47,686,48,168.65,807.43
121,47,471,34,82.02,285.26
122,48,797,28,244.28,336.68
123,48,252,33,153.78,740.48
124,48,232,26,30.39,70.13
125,48,23,17,57.72,21.78
126,49,255,45,273.39,669.86
127,49,476,48,202.93,827.82
128,49,157,20,45.16,22.01
129,49,101,31,474.5,1462.6
130,50,443,27,239.22,29.64
131,50,158,24,63.52,53.89
132,51,416,19,125.4,287.53
133,51,441,22,83.8,90.47
134,51,241,25,427.33,161.31
135,52,439,32,448.81,2012.91
136,53,182,3,71.07,31.46
137,54,90,20,168.42,19.68
138,54,42,38,45.76,10.31
139,54,170,1,411.61,11.87
140,55,608,19,309.64,464.26
141,56,267,42,389.16,1262.36
142,56,162,32,305.21,1009.44
143,57,712,23,476.09,503.26
144,57,485,42,354.3,895.28
145,57,464,16,398.16,809.5
146,58,721,3,44.33,11.72
147,58,159,8,78.1,93.55
148,59,341,21,291.74,660.42
149,59,705,28,207.89,811.91
150,60,310,31,329.81,558.56
151,60,727,26,99.79,25.71
152,60,215,3,421.36,152.38
153,61,408,21,227.56,584.76
154,61,727,48,483.52,1470.34
155,62,189,27,51.14,181.34
156,62,8,22,78.34,228.59
157,62,169,16,258.83,307.71
158,62,257,18,454.12,883.77
159,63,729,24,171.9,64.73
160,63,352,50,413.04,1552.24
161,63,630,14,78.16,111.67
162,64,605,28,386.01,1185.57
163,64,628,3,230.2,74.49
164,64,627,36,148.65,800.13
165,64,202,30,27.03,40.46
166,65,428,39,288.09,1555.71
167,65,475,38,115.34,174.02
168,66,272,34,118.46,2236.86
169,66,5,16,201.51,463.62
170,67,17,20,385.61,767.34
171,67,514,32,494.49,506.55
172,67,751,43,278.42,1400.15
173,67,786,16,463.19,432.46
174,67,656,47,167.65,644.23
175,68,663,16,473.56,23.52
176,69,300,43,132.26,138.08
177,70,784,20,498.95,1035.16
178,70,296,41,38.95,235.43
179,71,777,49,228.39,6059.99
180,71,277,50,269.62,973.14
181,71,184,40,142.76,3125.02
182,71,117,23,92.32,173.68
183,72,785,10,174.34,136.53
184,72,89,45,269.73,871.54
185,72,65,49,317.63,69.55
186,72,167,25,397.37,644.34
187,73,195,41,244.29,880.93
188,73,636,45,38.12,255.51
189,74,469,42,187.59,1063.6
190,74,397,3,229.19,0.38
191,74,330,23,13.48,30.91
192,75,8,6,71.37,6.16
193,75,323,34,282.9,168.08
